platform,platform_org_id,state,likely_school_district,include_in_rollout,notes
boarddocs,oh/fairlawn,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/findlay,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/fortfrye,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/gahanna,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/galionoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/garfieldheights,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/gcls,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/girard,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/gjvjvsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/goitcd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/granville,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/greenon,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/greenville,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/grnvw,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/harrisonhills,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/heath,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/hillsdale,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/hlsdoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/hopewell,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/howland,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/hudson,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/huron,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/jtmo,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/kenston,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/kentcs,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/lakota,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/lancaster,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/lima,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/lisbon,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/lorain,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/lwcsoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mapleheights,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/marietta,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mason,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/massillon,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/maumee,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mayoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mccomb,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/medina,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/meigs,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mentor,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/miamisburg,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/midview,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/milford,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/minerva,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/moesc,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
